,company_name,company_rating,other_data
520,LambdaTest,4.4,"Software Product , 201-500 Employees , Startup , 7 years old , Noida +2 more"
526,Wave Infratech,3.9,"Real Estate , 1k-5k Employees , Conglomerate , 61 years old , Noida +7 more"
534,Saksoft,3.7,"IT Services & Consulting , 1k-5k Employees , Public , 25 years old , Noida +14 more"
549,Testbook.com,3.7,"EdTech , 501-1k Employees , Startup , 10 years old , Noida +25 more"
552,Yaantra,3.7,"Internet , 501-1k Employees , Startup , 11 years old , Noida +18 more"
556,DiGiSPICE,3.6,"Hardware & Networking , 501-1k Employees , Public , 24 years old , Noida +9 more"
558,Polyplex,4.4,"Packaging , 501-1k Employees , Public , 40 years old , Noida +12 more"
559,Team Lease,4.0,"Recruitment , 1k-5k Employees , Public , 8 years old , Noida +311 more"
560,SMC,3.9,"Medical Equipment , 201-500 Employees , Forbes Global 2000 , 36 years old , Noida +38 more"
571,Kotak Mahindra Prime,4.0,"NBFC , 5k-10k Employees , Public , 28 years old , Noida +124 more"
572,Mphasis,3.5,"IT Services & Consulting , 10k-50k Employees , Public , 26 years old , Noida +54 more"
573,Domino's Pizza,4.0,"Hospitality , 1k-5k Employees , Public , 64 years old , Noida +217 more"
576,Country Holidays Travel India,4.3,"Travel & Tourism , 201-500 Employees , Startup , 2 years old , Noida +14 more"
577,Luxor International,3.8,"Retail , 201-500 Employees , Conglomerate , 44 years old , Noida +4 more"
578,APL Apollo Tubes,3.8,"Building Material , 1k-5k Employees , Public , 38 years old , Noida +39 more"
579,Lifestyle,4.4,"Retail , 10k-50k Employees , Fortune India 500 , 25 years old , Noida +114 more"
582,UltraTech Cement,4.2,"Building Material , 10k-50k Employees , Public , 41 years old , Noida +433 more"
584,Yamaha Motor,4.2,"Automobile , 1k-5k Employees , Fortune India 500 , 69 years old , Noida +121 more"
590,EMERSON PROCESS MANAGEMENT,4.1,"Industrial Machinery , 1k-5k Employees , Public , 134 years old , Noida +28 more"
599,Maral Overseas,3.6,"Fashion & Textile , 1k-5k Employees , Public , 33 years old , Noida +11 more"
604,Ksolves India Limited,2.8,"IT Services & Consulting , 201-500 Employees , Public , 12 years old , Noida +5 more"
610,GAIL,4.5,"Oil & Gas , 1k-5k Employees , Fortune India 500 , 40 years old , Noida +93 more"
611,Tokopedia,3.9,"Internet , 201-500 Employees , Startup , 7 years old , Noida +4 more"
614,Paytm Mall,3.6,"Internet , 501-1k Employees , Indian Unicorn , 14 years old , Noida +22 more"
618,BIS Research,2.7,"Management Consulting , 51-200 Employees , Startup , 10 years old , Noida"
619,Bharat Petroleum,4.2,"Oil & Gas , 5k-10k Employees , Fortune India 500 , 72 years old , Noida +221 more"
625,Haier Appliances India,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Conglomerate , 20 years old , Noida +109 more"
629,Timex Group India,3.9,"Metals & Mining , 201-500 Employees , Public , 170 years old , Noida +25 more"
633,Celebal Technologies,2.7,"IT Services & Consulting , 1k-5k Employees , Startup , 9 years old , Noida +15 more"
634,Mahindra & Mahindra,4.2,"Automobile , 1 Lakh+ Employees , Public , 79 years old , Noida +480 more"
635,IQVIA,4.0,"Clinical Research , 10k-50k Employees , Forbes Global 2000 , 42 years old , Noida +44 more"
637,DFM Foods,4.0,"FMCG , 501-1k Employees , Public , 41 years old , Noida +60 more"
638,CNH,4.2,"Automobile , 1k-5k Employees , Public , 11 years old , Noida +55 more"
649,Asian Paints,4.1,"Chemicals , 5k-10k Employees , Public , 82 years old , Noida +443 more"
651,IDS Infotech,3.1,"IT Services & Consulting , 1k-5k Employees , Public , 35 years old , Noida +14 more"
652,Lumiq,3.3,"IT Services & Consulting , 201-500 Employees , Startup , 11 years old , Noida +2 more"
653,Apollo Hospitals,4.2,"Healthcare , 10k-50k Employees , Public , 41 years old , Noida +189 more"
654,Persistent Systems,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 34 years old , Noida +33 more"
655,ICICI Lombard General Insurance Company,3.8,"Insurance , 10k-50k Employees , Public , 23 years old , Noida +264 more"
657,Karvy Innotech,3.2,"IT Services & Consulting , 501-1k Employees , Public , 12 years old , Noida +39 more"
658,Gaurs Group,4.1,"Real Estate , 1k-5k Employees , Public , 29 years old , Noida +11 more"
661,Metawallah,4.9,"Internet , 51-200 Employees , Startup , 3 years old , Noida +13 more"
663,Suprajit Engineering,3.8,"Auto Components , 501-1k Employees , Public , 39 years old , Noida +33 more"
673,Fictivebox Media,4.2,"IT Services & Consulting , 51-200 Employees , Startup , 3 years old , Noida"
674,Religare Finvest,4.4,"Financial Services , 1k-5k Employees , Public , 18 years old , Noida +33 more"
679,East India Udyog,3.8,"Electrical Equipment , 201-500 Employees , Public , 58 years old , Noida +30 more"
681,Flipkart Health+,3.7,"Internet , 501-1k Employees , Startup , 11 years old , Noida +27 more"
686,Ocrolus East,3.5,"FinTech , 201-500 Employees , Startup , 10 years old , Noida +8 more"
687,ATS Homekraft,4.1,"Real Estate , 201-500 Employees , Startup , 6 years old , Noida +5 more"
688,Rezo.AI,4.0,"Internet , 51-200 Employees , Startup , 6 years old , Noida +2 more"
690,Shoppers Stop,4.1,"Retail , 5k-10k Employees , Public , 33 years old , Noida +66 more"
695,BHEL,4.2,"Electrical Equipment , 10k-50k Employees , Fortune India 500 , 60 years old , Noida +95 more"
698,Blinkit,3.9,"Internet , 1k-5k Employees , Indian Unicorn , 11 years old , Noida +64 more"
701,BHEL,4.2,"Electrical Equipment , 10k-50k Employees , Fortune India 500 , 60 years old , Noida +95 more"
715,Monotype,3.9,"IT Services & Consulting , 51-200 Employees , Public , 137 years old , Noida +2 more"
717,Essel Group,4.1,"Media & Entertainment , 10k-50k Employees , Conglomerate , 98 years old , Noida +36 more"
722,Essel Group,4.1,"Media & Entertainment , 10k-50k Employees , Conglomerate , 98 years old , Noida +36 more"
724,Godrej Properties,3.7,"Real Estate , 1k-5k Employees , Public , 34 years old , Noida +27 more"
727,McDonald's,4.2,"Hospitality , 1k-5k Employees , Forbes Global 2000 , 69 years old , Noida +138 more"
734,Wipro Infotech,4.0,"IT Services & Consulting , 1 Lakh+ Employees (Global) , MNC , 79 years old , Noida +118 more"
737,CMS IT Services,3.2,"IT Services & Consulting , 5k-10k Employees , Startup , 10 years old , Noida +135 more"
741,PVR Cinemas,4.1,"Media & Entertainment , 1k-5k Employees , Public , 27 years old , Noida +107 more"
742,Enphase Energy,3.1,"Power , 501-1k Employees , Public , 18 years old , Noida +6 more"
743,MediaTek India Technology,4.1,"Semiconductors , 501-1k Employees , Forbes Global 2000 , 27 years old , Noida +5 more"
752,Razor Infotech,4.9,"BPO , 201-500 Employees , Startup , 6 years old , Noida +2 more"
756,Medico Electrodes International,3.8,"Medical Equipment , 501-1k Employees , Public , 22 years old , Noida +3 more"
