,company_name,company_rating,industry,size,type,years_old,location
204,Tokopedia,3.9,Internet,201-500 Employees,Startup,7,Noida
205,Paytm Mall,3.6,Internet,501-1k Employees,Indian Unicorn,14,Noida
206,BIS Research,2.7,Management Consulting,51-200 Employees,Startup,10,Noida
207,Bharat Petroleum,4.2,Oil & Gas,5k-10k Employees,Fortune India 500,72,Noida
208,Haier Appliances India,4.1,Consumer Electronics & Appliances,1k-5k Employees,Conglomerate,20,Noida
209,Timex Group India,3.9,Metals & Mining,201-500 Employees,Public,170,Noida
210,Celebal Technologies,2.7,IT Services & Consulting,1k-5k Employees,Startup,9,Noida
211,Mahindra & Mahindra,4.2,Automobile,1 Lakh+ Employees,Public,79,Noida
212,IQVIA,4.0,Clinical Research,10k-50k Employees,Forbes Global 2000,42,Noida
213,DFM Foods,4.0,FMCG,501-1k Employees,Public,41,Noida
214,CNH,4.2,Automobile,1k-5k Employees,Public,11,Noida
215,Asian Paints,4.1,Chemicals,5k-10k Employees,Public,82,Noida
216,IDS Infotech,3.1,IT Services & Consulting,1k-5k Employees,Public,35,Noida
217,Lumiq,3.3,IT Services & Consulting,201-500 Employees,Startup,11,Noida
218,Apollo Hospitals,4.2,Healthcare,10k-50k Employees,Public,41,Noida
219,Persistent Systems,3.8,IT Services & Consulting,10k-50k Employees,Public,34,Noida
220,ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,23,Noida
221,Karvy Innotech,3.2,IT Services & Consulting,501-1k Employees,Public,12,Noida
222,Gaurs Group,4.1,Real Estate,1k-5k Employees,Public,29,Noida
223,Metawallah,4.9,Internet,51-200 Employees,Startup,3,Noida
224,Suprajit Engineering,3.8,Auto Components,501-1k Employees,Public,39,Noida
225,Fictivebox Media,4.2,IT Services & Consulting,51-200 Employees,Startup,3,Noida
226,Religare Finvest,4.4,Financial Services,1k-5k Employees,Public,18,Noida
227,East India Udyog,3.8,Electrical Equipment,201-500 Employees,Public,58,Noida
228,Flipkart Health+,3.7,Internet,501-1k Employees,Startup,11,Noida
229,Ocrolus East,3.5,FinTech,201-500 Employees,Startup,10,Noida
230,ATS Homekraft,4.1,Real Estate,201-500 Employees,Startup,6,Noida
231,Rezo.AI,4.0,Internet,51-200 Employees,Startup,6,Noida
232,Shoppers Stop,4.1,Retail,5k-10k Employees,Public,33,Noida
233,BHEL,4.2,Electrical Equipment,10k-50k Employees,Fortune India 500,60,Noida
234,Blinkit,3.9,Internet,1k-5k Employees,Indian Unicorn,11,Noida
235,BHEL,4.2,Electrical Equipment,10k-50k Employees,Fortune India 500,60,Noida
236,Monotype,3.9,IT Services & Consulting,51-200 Employees,Public,137,Noida
237,Essel Group,4.1,Media & Entertainment,10k-50k Employees,Conglomerate,98,Noida
238,Essel Group,4.1,Media & Entertainment,10k-50k Employees,Conglomerate,98,Noida
239,Godrej Properties,3.7,Real Estate,1k-5k Employees,Public,34,Noida
