,company_name,company_rating,industry,size,type,years_old,location
629,Greenpanel Industries,4.1,Furniture & Furnishing,1k-5k Employees,Public,7,Ahmedabad
630,Arfin,3.7,Iron & Steel,51-200 Employees,Public,32,Ahmedabad
631,Vakrangee,3.7,BPO,1k-5k Employees,Public,34,Ahmedabad
632,Aarti Industries,4.2,Agro Chemicals,5k-10k Employees,Public,49,Ahmedabad
633,Sanofi,4.4,Pharma,1k-5k Employees,Public,20,Ahmedabad
634,Sanofi,4.4,Pharma,1k-5k Employees,Public,20,Ahmedabad
635,Hewlett Packard Enterprise,4.3,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,9,Ahmedabad
636,V-Mart,4.2,Retail,5k-10k Employees,Public,22,Ahmedabad
637,American Express,4.2,Financial Services,10k-50k Employees,Forbes Global 2000,174,Ahmedabad
638,Ola Electric Mobility,3.3,Automobile,5k-10k Employees,Indian Unicorn,7,Indore
639,JSW Steel,4.0,Iron & Steel,10k-50k Employees,Public,42,Ahmedabad
640,MRF Tyres,3.8,Auto Components,10k-50k Employees,Public,78,Ahmedabad
641,Shah Investors Home,4.4,Financial Services,51-200 Employees,Public,30,Ahmedabad
642,Urja Products,3.7,Internet,201-500 Employees,Startup,55,Ahmedabad
643,Astron Paper Board Mill,4.6,Pulp & Paper,501-1k Employees,Public,14,Ahmedabad
644,Exclusífe Technosoft,3.0,Retail,11-50 Employees,Startup,11,Ahmedabad
645,Exclusífe Technosoft,3.0,Retail,11-50 Employees,Startup,11,Ahmedabad
646,National Stock Exchange of India,3.7,Financial Services,1k-5k Employees,Fortune India 500,32,Ahmedabad
647,Kajaria Ceramics,4.2,Building Material,1k-5k Employees,Public,39,Ahmedabad
648,Yamaha Motor,4.2,Automobile,1k-5k Employees,Fortune India 500,69,Ahmedabad
649,Jetking Infotrain,3.7,Education & Training,51-200 Employees,Public,77,Ahmedabad
650,HBL Power Systems,4.0,Electrical Equipment,1k-5k Employees,Public,47,Ahmedabad
651,IL&FS Engineering and Construction,4.4,Engineering & Construction,1k-5k Employees,Public,36,Ahmedabad
652,HomeLane,3.5,Architecture & Interior Design,1k-5k Employees,Startup,10,Ahmedabad
653,Snowman Logistics,4.1,Logistics,201-500 Employees,Public,28,Ahmedabad
654,Paul Merchants,4.3,NBFC,1k-5k Employees,Public,40,Ahmedabad
655,Ingram Micro,3.9,IT Services & Consulting,1k-5k Employees,Conglomerate,45,Ahmedabad
656,Toothsi,2.8,Internet,501-1k Employees,Startup,6,Ahmedabad
657,Metropolis Healthcare,4.1,Healthcare,1k-5k Employees,Conglomerate,44,Ahmedabad
658,Global Garner Sales Services,3.8,Internet,51-200 Employees,Startup,8,Ahmedabad
659,Tribhovandas Bhimji Zaveri,4.2,Metals & Mining,1k-5k Employees,Public,160,Ahmedabad
660,Prism Johnson Limited - RMC (India) Division,4.1,Building Material,501-1k Employees,Public,28,Ahmedabad
661,Hindustan Sanitaryware & Industries,4.1,Furniture & Furnishing,1k-5k Employees,Public,64,Ahmedabad
662,NK Industries,4.1,FMCG,201-500 Employees (Global),Public,37,Ahmedabad
663,Deepak Fertilisers and Petrochemicals,3.9,Agro Chemicals,1k-5k Employees,Public,45,Ahmedabad
664,Amber Enterprises India,3.9,Consumer Electronics & Appliances,1k-5k Employees,Public,34,Ahmedabad
665,CEEJAY FINANCE,4.3,NBFC,51-200 Employees,Public,31,Ahmedabad
666,Naukri,4.0,Internet,1k-5k Employees,Public,28,Ahmedabad
667,Jindal Stainless,4.3,Iron & Steel,1k-5k Employees,Public,54,Ahmedabad
668,Shimizu,4.1,Engineering & Construction,51-200 Employees,Forbes Global 2000,220,Ahmedabad
669,Surya Roshni,4.1,Real Estate,1k-5k Employees,Public,51,Ahmedabad
670,LetsTransport,3.4,Logistics,501-1k Employees,Startup,9,Ahmedabad
671,Skipper,3.8,Power,1k-5k Employees,Public,43,Ahmedabad
672,Hilton,4.4,Hospitality,1k-5k Employees,Forbes Global 2000,105,Ahmedabad
673,Bridgestone,4.2,Auto Components,1k-5k Employees,Forbes Global 2000,28,Ahmedabad
674,PI Industries,4.2,Agro Chemicals,1k-5k Employees,Public,77,Ahmedabad
675,BOB Financial Solutions,4.3,NBFC,501-1k Employees,Public,30,Ahmedabad
676,NSE.IT,3.6,IT Services & Consulting,1k-5k Employees,Public,25,Ahmedabad
677,Tribhovandas Bhimji Zaveri,4.2,Metals & Mining,1k-5k Employees,Public,160,Ahmedabad
678,BOB Financial Solutions,4.3,NBFC,501-1k Employees,Public,30,Ahmedabad
679,Incuspaze Solutions,4.4,Real Estate,51-200 Employees,Startup,8,Ahmedabad
680,Ceat Tyres,4.1,Auto Components,5k-10k Employees,Public,66,Ahmedabad
681,Bluestone.com,3.8,Jewellery,501-1k Employees,Startup,13,Ahmedabad
682,3i Infotech,3.6,IT Services & Consulting,1k-5k Employees,Public,31,Ahmedabad
683,Britannia,4.1,FMCG,1k-5k Employees,Public,132,Ahmedabad
684,KIA MOTORS,3.9,Automobile,1k-5k Employees,Forbes Global 2000,80,Ahmedabad
685,Hero MotoCorp,4.2,Automobile,5k-10k Employees,Public,40,Ahmedabad
686,GBS,4.0,Internet,11-50 Employees (Global),Startup,8,Ahmedabad
687,Finolex Cables,3.9,Electrical Equipment,1k-5k Employees,Public,68,Ahmedabad
688,Vertiv,4.0,IT Services & Consulting,51-200 Employees (Global),Startup,8,Ahmedabad
689,Alcon,3.7,Medical Equipment,1k-5k Employees,Public,79,Ahmedabad
690,LOREAL,4.1,Beauty & Personal Care,1k-5k Employees,Forbes Global 2000,33,Ahmedabad
691,Future Lifestyle Fashion,4.2,Retail,1k-5k Employees,Public,12,Ahmedabad
692,The MobileStore,4.3,Internet,501-1k Employees,Public,18,Ahmedabad
693,Shree Rama Newsprint,4.5,Pulp & Paper,501-1k Employees,Public,33,Ahmedabad
694,Vikram Thermo,3.4,Pharma,11-50 Employees,Public,40,Ahmedabad
695,Plutomen,2.4,Internet,51-200 Employees,Startup,8,Ahmedabad
